R,G,B,occurence,c_code,c_name
209,210,205,62812,#D1D2CD,~lightgray
191,182,175,23530,#BFB6AF,~silver
227,225,202,12203,#E3E1CA,~gainsboro
255,255,243,11510,#FFFFF3,~ivory
196,190,164,9806,#C4BEA4,~silver
41,41,49,8919,#292931,~darkslategray
72,57,52,8744,#483934,~darkslategray
94,96,72,8659,#5E6048,~darkolivegreen
158,166,155,8607,#9EA69B,~darkgray
136,136,124,7251,#88887C,~gray
171,159,137,6583,#AB9F89,~rosybrown
0,6,0,6219,#000600,~black
85,90,83,5299,#555A53,~dimgray
130,120,93,4884,#82785D,~dimgray
9,12,29,4858,#090C1D,~black
93,70,52,3836,#5D4634,~darkolivegreen
55,35,28,3161,#37231C,~darkslategray
49,61,59,3146,#313D3B,~darkslategray
168,194,183,3023,#A8C2B7,~silver
180,169,183,2568,#B4A9B7,~darkgray
146,114,99,2363,#927263,~gray
26,37,33,2148,#1A2521,~black
118,94,68,2011,#765E44,~dimgray
230,207,176,1995,#E6CFB0,~wheat
88,81,89,1985,#585159,~dimgray
165,138,109,1842,#A58A6D,~rosybrown
70,72,48,1839,#464830,~darkolivegreen
150,151,156,1435,#96979C,~darkgray
232,236,239,1317,#E8ECEF,~lavender
177,165,117,1317,#B1A575,~darkkhaki
99,110,114,1255,#636E72,~dimgray
209,180,162,1120,#D1B4A2,~tan
158,121,76,1010,#9E794C,~sienna
47,45,30,1009,#2F2D1E,~darkslategray
222,248,235,942,#DEF8EB,~honeydew
115,96,90,916,#73605A,~dimgray
202,198,212,891,#CAC6D4,~lightgray
157,176,190,782,#9DB0BE,~darkgray
195,153,131,727,#C39983,~rosybrown
188,208,181,678,#BCD0B5,~silver
67,43,19,663,#432B13,~darkolivegreen
116,103,58,637,#74673A,~darkolivegreen
25,0,0,626,#190000,~black
127,139,103,595,#7F8B67,~gray
210,177,136,556,#D2B188,~tan
235,211,201,547,#EBD3C9,~gainsboro
17,21,48,524,#111530,~black
101,123,111,519,#657B6F,~dimgray
144,133,150,504,#908596,~lightslategray
116,79,37,504,#744F25,~saddlebrown
185,213,217,492,#B9D5D9,~lightblue
177,152,148,436,#B19894,~rosybrown
69,56,74,431,#45384A,~darkslategray
210,209,161,411,#D2D1A1,~tan
255,255,223,397,#FFFFDF,~lightyellow
35,58,42,359,#233A2A,~darkslategray
140,187,167,305,#8CBBA7,~darkseagreen
87,78,37,281,#574E25,~darkolivegreen
35,57,70,270,#233946,~darkslategray
255,231,186,268,#FFE7BA,~moccasin
92,54,51,266,#5C3633,~darkolivegreen
133,178,184,243,#85B2B8,~darkgray
49,52,21,226,#313415,~darkslategray
130,90,82,200,#825A52,~dimgray
212,188,128,177,#D4BC80,~burlywood
123,155,144,176,#7B9B90,~lightslategray
233,170,135,175,#E9AA87,~burlywood
27,21,0,174,#1B1500,~black
199,228,184,174,#C7E4B8,~lightgray
56,18,15,172,#38120F,~black
164,195,151,170,#A4C397,~darkseagreen
33,90,81,166,#215A51,~darkslategray
117,100,119,163,#756477,~dimgray
110,69,47,155,#6E452F,~saddlebrown
13,36,18,152,#0D2412,~black
102,143,175,152,#668FAF,~cadetblue
